name	nr
NC_045512.2	0
Germany/DUS_S1_major/2020	1
Germany/DUS_S1_minor/2020	1
Germany/DUS_S2_major/2020	2
Germany/DUS_S3_major/2020	3
Germany/DUS_S3_minor/2020	3
Germany/DUS_S4_major/2020	4
Germany/DUS_S4_minor/2020	4
Germany/DUS_S5_major/2020	5
Germany/DUS_S5_minor/2020	5
USA/WIS_veroSTAT-1KO_illumina_major/2020	6
USA/WIS_veroSTAT-1KO_illumina_minor/2020	6
USA/WIS_veroSTAT-1KO_ONT_major/2020	7
USA/WIS_veroE6_illumina_major/2020	8
USA/WIS_veroE6_illumina_minor/2020	8
USA/WIS_veroE6_ONT_major/2020	9
USA/WIS_vero76_illumina_major/2020	10
USA/WIS_vero76_illumina_minor/2020	10
USA/WIS_vero76_ONT_major/2020	11
USA/WIS_swab_illumina/2020	12
USA/WIS_swab_ONT/2020	13
USA/WIS_P2a_vero76_illumina_major/2020	14
USA/WIS_P2a_vero76_illumina_minor/2020	14
USA/WIS_P2b_vero76_illumina_major/2020	15
USA/WIS_P2b_vero76_illumina_minor/2020	15
USA/WIS_P2a_vero76_ONT_major/2020	16
USA/WIS_P2b_vero76_ONT_major/2020	17
